"Name","Characters","BlingSkins","BlingIconExportName","SkinGachaPrice","GachaPrice","FallbackForDonation","PurchasePrice","BuddyCards","BuddySkin","CardIconExportName","InfoPopupSfx","BuyScreenOffset","BuyScreenScale","BuyScreenRotation","ShopPanelOffset","ShopPanelScale","ShopPanelRotation","HeroInfoScreenRotation","HeroInfoScreenOffset","HeroInfoScreenScale","UnlockingFlowOffset","UnlockingFlowScale","UnlockingFlowRotation","ShopScreen","ClawScreen","ClawMachinePanelExportName","BlingClawScreen","BlingMachinePanelExportName","ClawJoystickExportName","ClawButtonExportName","BlingClawJoystickExportName","BlingClawButtonExportName","Disabled"
"string","string","string","string","string","string","string","string","string","string","string","string","string","int","int","string","int","int","int","string","int","string","int","int","string","string","string","string","string","string","string","string","string","boolean"
"FirstClawMachine","ShotgunGirl","ShotgunGirlBuddyBlingChroma","buddy_icon_shelly_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","ShotgunGirl_Buddy_Gadgets","ShotgunGirlBuddyGadget","buddy_icon_shelly_gadget","Claw_Gacha_Show_Gadget_Buffie","0;-160;0",650,20,"0;-198;0",650,0,-10,"0;-200;0",650,"0;-160;0",650,0,"buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine","claw_machine_bling_screen_","buddy_shop_claw_machine","claw_machine_screen_hud_bottom_left","claw_machine_screen_hud_bottom_right","claw_machine_bling_screen_hud_bottom_left","claw_machine_bling_screen_hud_bottom_right",
,"Gunslinger","GunslingerBuddyBlingChroma","buddy_icon_colt_skin_bling",,"COINS#1000",,"GEMS#179","ShotgunGirl_Buddy_Starpowers","ShotgunGirlBuddySP","buddy_icon_shelly_star_power","Claw_Gacha_Show_Star_Buffie","0;-160;0",650,20,"0;-198;0",650,0,-10,"0;-200;0",650,"0;-160;0",650,0,,,,,,,,,,
,"Cactus","CactusBuddyBlingChroma","buddy_icon_spike_skin_bling",,,,"GEMS#199","ShotgunGirl_Buddy_Overcharge","ShotgunGirlBuddyHC","buddy_icon_shelly_hypercharge","Claw_Gacha_Show_Hyper_Buffie","0;-160;0",650,20,"0;-198;0",650,0,-10,"0;-200;0",650,"0;-160;0",650,0,,,,,,,,,,
,"Mummy","MummyBuddyBlingChroma","buddy_icon_emz_skin_bling",,,,"GEMS#149","Gunslinger_Buddy_Gadgets","GunslingerBuddyGadget","buddy_icon_colt_gadget","Claw_Gacha_Show_Gadget_Buffie","0;-160;0",500,0,"0;-247;0",630,0,-10,"0;-235;0",630,"0;-160;0",500,0,,,,,,,,,,
,"HammerDude","HammerDudeBuddyBlingChroma","buddy_icon_frank_skin_bling",,,,"GEMS#179","Gunslinger_Buddy_Starpowers","GunslingerBuddySP","buddy_icon_colt_star_power","Claw_Gacha_Show_Star_Buffie","0;-160;0",500,0,"0;-247;0",630,0,-10,"0;-235;0",630,"0;-160;0",500,0,,,,,,,,,,
,"Undertaker","UndertakerBuddyBlingChroma","buddy_icon_mortis_skin_bling",,,,"GEMS#199","Gunslinger_Buddy_Overcharge","GunslingerBuddyHC","buddy_icon_colt_hypercharge","Claw_Gacha_Show_Hyper_Buffie","0;-160;0",500,0,"0;-247;0",630,0,-10,"0;-235;0",630,"0;-160;0",500,0,,,,,,,,,,
,,,,,,,"GEMS#149","Cactus_Buddy_Gadgets","CactusBuddyGadget","buddy_icon_spike_gadget","Claw_Gacha_Show_Gadget_Buffie","-200;-150;-150",650,20,"0;-190;0",650,0,-10,"0;-190;0",650,"0;-160;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#179","Cactus_Buddy_Starpowers","CactusBuddySP","buddy_icon_spike_star_power","Claw_Gacha_Show_Star_Buffie","-200;-150;-150",650,20,"0;-190;0",650,0,-10,"0;-190;0",650,"0;-160;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#199","Cactus_Buddy_Overcharge","CactusBuddyHC","buddy_icon_spike_hypercharge","Claw_Gacha_Show_Hyper_Buffie","-200;-150;-150",650,20,"0;-190;0",650,0,-10,"0;-190;0",650,"0;-160;0",650,0,,,,,,,,,,
,,,,,,,"GEMS#149","Mummy_Buddy_Gadgets","MummyGirlBuddyGadget","buddy_icon_emz_gadget","Claw_Gacha_Show_Gadget_Buffie","0;-160;0",500,20,"0;-255;0",530,0,-10,"0;-235;0",530,"0;-160;0",500,0,,,,,,,,,,
